abbreviation,full_length,count_abbr,count_fl,abbr_mask_l2r_avg_per_token,abbr_seq_avg_per_token,abbr_mask_l2r_surprisal_mean,abbr_sequential_surprisal_mean,fl_mask_l2r_avg_per_token,fl_seq_avg_per_token,fl_mask_l2r_surprisal_mean,fl_sequential_surprisal_mean
idk,i don't know,181,200,36.111820220947266,36.111820220947266,36.111820220947266,36.111820220947266,30.344642639160156,32.18718338012695,303.4464416503906,128.7487335205078
rn,right now,94,563,34.43076705932617,34.43076705932617,34.43076705932617,34.43076705932617,31.48474884033203,31.100372314453125,94.45425415039062,62.20074462890625
omg,oh my god,465,54,37.170623779296875,37.170623779296875,37.170623779296875,37.170623779296875,34.32904815673828,32.53300476074219,205.9742889404297,97.5990219116211
idc,i don't care,59,61,37.98225784301758,37.98225784301758,37.98225784301758,37.98225784301758,30.153703689575195,31.881511688232422,301.5370788574219,127.52604675292969
lol,laugh out loud,2127,2,27.826387405395508,27.826387405395508,27.826387405395508,27.826387405395508,35.49162292480469,37.65052795410156,212.9497528076172,112.95158386230469
bro,brother,391,775,28.696964263916016,28.696964263916016,28.696964263916016,28.696964263916016,27.16577911376953,27.16577911376953,27.16577911376953,27.16577911376953
dm,direct message,258,2,35.857975006103516,35.857975006103516,35.857975006103516,35.857975006103516,42.70530700683594,44.19330978393555,128.1159210205078,88.3866195678711
wtf,what the fuck,205,64,36.42535400390625,36.42535400390625,36.42535400390625,36.42535400390625,27.21843719482422,26.000593185424805,163.31063842773438,78.00177764892578
lmao,laughing my ass off,436,2,31.736371994018555,31.736371994018555,31.736371994018555,31.736371994018555,32.29619216918945,31.868955612182617,322.9619140625,127.47582244873047
sry,sorry,5,601,40.93047332763672,40.93047332763672,40.93047332763672,40.93047332763672,30.370813369750977,30.370813369750977,30.370813369750977,30.370813369750977
v,very,1222,1564,29.288972854614258,29.288972854614258,29.288972854614258,29.288972854614258,33.60425567626953,33.60425567626953,33.60425567626953,33.60425567626953
w,with,2234,23989,31.81020164489746,31.81020164489746,31.81020164489746,31.81020164489746,28.830129623413086,28.830129623413086,28.830129623413086,28.830129623413086
nvm,nevermind,11,10,32.244991302490234,32.244991302490234,32.244991302490234,32.244991302490234,37.38478088378906,37.38478088378906,37.38478088378906,37.38478088378906
rofl,rolling on the floor laughing,7,1,35.77207565307617,35.77207565307617,35.77207565307617,35.77207565307617,35.93816375732422,44.787960052490234,539.0724487304688,223.93980407714844
lmk,let me know,7,89,42.356529235839844,42.356529235839844,42.356529235839844,42.356529235839844,33.2503662109375,33.85956573486328,199.50216674804688,101.57869720458984
ily,i love you,174,646,35.48045349121094,35.48045349121094,35.48045349121094,35.48045349121094,31.349138259887695,31.475038528442383,188.09481811523438,94.42511749267578
yolo,you only live once,14,3,33.860965728759766,33.860965728759766,33.860965728759766,33.860965728759766,33.85607147216797,29.963882446289062,338.5606994628906,119.85552978515625
lmfao,laughing my fucking ass off,116,0,30.84601593017578,30.84601593017578,30.84601593017578,30.84601593017578,,,,
ikr,i know right,8,3,39.50035095214844,39.50035095214844,39.50035095214844,39.50035095214844,35.49153518676758,34.10032653808594,212.94921875,102.30097198486328
ofc,of course,11,315,31.89545249938965,31.89545249938965,31.89545249938965,31.89545249938965,31.822765350341797,27.020832061767578,95.30490112304688,53.9599609375
u,you,3851,38483,32.03567886352539,32.03567886352539,32.03567886352539,32.03567886352539,,,28.434618106573083,28.434618106573083
2,too,3848,2890,29.532859802246094,29.532859802246094,29.532859802246094,29.532859802246094,30.61287498474121,30.61287498474121,30.61287498474121,30.61287498474121
2,to,3848,62269,29.532859802246094,29.532859802246094,29.532859802246094,29.532859802246094,,,26.294355974868793,26.294355974868793
r,are,1267,14430,34.92310333251953,34.92310333251953,34.92310333251953,34.92310333251953,,,32.386628571753285,32.386628571753285
abt,about,89,6955,37.35133361816406,37.35133361816406,37.35133361816406,37.35133361816406,33.87746047973633,33.87746047973633,33.87746047973633,33.87746047973633
tbh,to be honest,110,15,31.94862174987793,31.94862174987793,31.94862174987793,31.94862174987793,26.982181549072266,23.51145362854004,161.89309692382812,70.53435516357422
tbt,throwback thursday,60,23,45.11548614501953,45.11548614501953,45.11548614501953,45.11548614501953,40.71354293823242,39.48374938964844,122.14063262939453,78.96749877929688
tmb,tweet me back,0,0,,,,,,,,
tftf,thanks for the follow,0,19,,,,,27.674509048461914,27.37201499938965,276.7450866699219,109.4880599975586
smh,shaking my head,152,2,31.575824737548828,31.575824737548828,31.575824737548828,31.575824737548828,38.23452377319336,39.43489074707031,229.4071502685547,118.30467987060547
prt,please retweet,0,10,,,,,29.879669189453125,21.332714080810547,89.63899993896484,42.665428161621094
rt,retweet,1017,83,36.70273971557617,36.70273971557617,36.70273971557617,36.70273971557617,33.580631256103516,33.580631256103516,33.580631256103516,33.580631256103516
nts,note to self,4,9,30.330215454101562,29.414613723754883,90.99064636230469,58.829227447509766,35.92412185668945,36.57685852050781,215.54473876953125,109.7305679321289
mtf,more to follow,0,1,,,,,28.613754272460938,28.99415397644043,171.68252563476562,86.98246002197266
mrt,modified retweet,2,0,39.98448181152344,43.103668212890625,119.95343780517578,86.20733642578125,,,,
kk,okay,49,390,39.306514739990234,39.306514739990234,39.306514739990234,39.306514739990234,35.207000732421875,35.207000732421875,35.207000732421875,35.207000732421875
imo,in my opinion,46,25,32.024105072021484,32.024105072021484,32.024105072021484,32.024105072021484,33.578128814697266,35.9969482421875,201.46876525878906,107.99083709716797
icymi,in case you missed it,35,10,45.84699249267578,45.55620193481445,137.54098510742188,91.1124038696289,38.349708557128906,39.25324249267578,575.2456665039062,196.26622009277344
ic,i see,167,370,30.47112464904785,30.47112464904785,30.47112464904785,30.47112464904785,32.57438278198242,30.9500732421875,97.72314453125,61.900146484375
ht,hat tip,21,2,30.276241302490234,30.276241302490234,30.276241302490234,30.276241302490234,31.905113220214844,28.464269638061523,95.71534729003906,56.92853927612305
ftw,for the win,20,23,31.4499454498291,31.4499454498291,31.4499454498291,31.4499454498291,26.888586044311523,26.519102096557617,161.33152770996094,79.55729675292969
ftl,for the loss,1,4,37.78175354003906,41.9177360534668,113.34526062011719,83.8354721069336,28.703861236572266,28.696563720703125,172.22317504882812,86.0896987915039
fomo,fear of missing out,2,0,42.679996490478516,40.586280822753906,128.0399932861328,81.17256164550781,,,,
fab,fabulous,71,140,40.33091354370117,40.33091354370117,40.33091354370117,40.33091354370117,38.37925720214844,38.37925720214844,38.37925720214844,38.37925720214844
eml,email,0,176,,,,,33.83823013305664,33.83823013305664,33.83823013305664,33.83823013305664
ema,email address,22,3,39.25341033935547,39.25341033935547,39.25341033935547,39.25341033935547,30.85500144958496,27.144559860229492,92.56500244140625,54.289119720458984
deets,details,8,250,39.127586364746094,39.127586364746094,39.127586364746094,39.127586364746094,36.15457534790039,36.15457534790039,36.15457534790039,36.15457534790039
cr8,create,1,167,25.385427474975586,23.59707260131836,76.15628051757812,47.19414520263672,32.90675354003906,32.90675354003906,32.90675354003906,32.90675354003906
clk,click,0,161,,,,,40.876922607421875,40.876922607421875,40.876922607421875,40.876922607421875
cld,could,1,2081,31.80602264404297,31.80602264404297,31.80602264404297,31.80602264404297,,,30.3399691593183,30.3399691593183
chk,check,1,1233,22.05481719970703,23.03508758544922,66.1644515991211,46.07017517089844,41.14727020263672,41.14727020263672,41.14727020263672,41.14727020263672
btw,by the way,146,56,34.69861602783203,34.69861602783203,34.69861602783203,34.69861602783203,27.017948150634766,25.18364143371582,162.10768127441406,75.55091857910156
br,best regards,36,4,38.45962142944336,38.45962142944336,38.45962142944336,38.45962142944336,34.635807037353516,31.00767707824707,103.90741729736328,62.01535415649414
bgd,background,2,98,33.00798034667969,30.594104766845703,99.02394104003906,61.188209533691406,32.488773345947266,32.488773345947266,32.488773345947266,32.488773345947266
bfn,bye for now,0,2,,,,,33.970008850097656,34.391136169433594,203.82003784179688,103.17341613769531
b4,before,63,1898,37.197505950927734,37.197505950927734,37.197505950927734,37.197505950927734,33.924156188964844,33.924156188964844,33.924156188964844,33.924156188964844
bc,because,669,2825,31.024219512939453,31.024219512939453,31.024219512939453,31.024219512939453,31.26128578186035,31.26128578186035,31.26128578186035,31.26128578186035
